time_seconds,allocated_mb,reserved_mb,gpu_load_percent
4.817579984664917,498.82861328125,520.0,64.7
4.918922424316406,498.82861328125,520.0,2.9
5.035583257675171,803.42236328125,826.0,0.0
5.137238025665283,955.71923828125,1132.0,99.9
5.446829557418823,1260.53173828125,2046.0,99.9
7.424906492233276,2174.53173828125,2960.0,0.0
7.527326822280884,473.44580078125,2960.0,99.9
7.629223346710205,304.28759765625,2960.0,99.9
7.733726501464844,266.74462890625,2960.0,99.9
12.626296997070312,202.48193359375,2960.0,99.9
18.345611333847046,202.48193359375,2960.0,99.9
24.06503963470459,202.48193359375,2960.0,99.9
29.783554315567017,202.48193359375,2960.0,99.9
35.50220608711243,202.48193359375,2960.0,93.5
41.22377681732178,202.48193359375,2960.0,99.8
46.9436936378479,202.48193359375,2960.0,99.9
52.66308903694153,202.48193359375,2960.0,99.9
58.38398504257202,202.48193359375,2960.0,99.9
64.10592103004456,202.48193359375,2960.0,99.9
69.82670450210571,202.48193359375,2960.0,99.9
75.54404091835022,202.48193359375,2960.0,99.9
81.26458525657654,202.48193359375,2960.0,88.0
86.98591780662537,507.37841796875,2960.0,98.2
92.70629334449768,202.48193359375,2960.0,99.8
98.42581462860107,202.48193359375,2960.0,99.9
104.14530920982361,202.48193359375,2960.0,99.9
109.86234140396118,202.48193359375,2960.0,99.9
115.58281540870667,202.48193359375,2960.0,99.9
121.30270171165466,202.48193359375,2960.0,99.9
127.02295732498169,202.48193359375,2960.0,99.9
132.7443528175354,202.48193359375,2960.0,99.9
138.46566915512085,507.07568359375,2960.0,99.5
144.18244695663452,202.48193359375,2960.0,92.7
149.90379285812378,202.48193359375,2960.0,99.9
155.62410140037537,202.48193359375,2960.0,99.8
161.3450620174408,202.48193359375,2960.0,99.9
167.0638906955719,202.48193359375,2960.0,99.9
172.7853193283081,811.66943359375,2960.0,99.9
178.5054636001587,202.48193359375,2960.0,99.9
184.22274827957153,202.48193359375,2960.0,99.9
189.94793176651,202.48193359375,2960.0,99.9
195.6676127910614,202.48193359375,2960.0,99.8
201.3884880542755,202.48193359375,2960.0,99.9
207.11414766311646,202.48193359375,2960.0,99.9
212.83321499824524,507.37841796875,2960.0,92.2
218.55140137672424,202.48193359375,2960.0,89.9
224.26914620399475,202.48193359375,2960.0,99.9
229.99035358428955,507.07568359375,2960.0,99.8
235.70530152320862,202.48193359375,2960.0,99.9
241.43097615242004,202.48193359375,2960.0,99.9
247.15222787857056,202.48193359375,2960.0,99.9
252.8715431690216,202.48193359375,2960.0,99.9
258.59329056739807,202.48193359375,2960.0,99.9
264.31319856643677,202.48193359375,2960.0,99.9
270.0301740169525,202.48193359375,2960.0,99.9
275.750679731369,202.48193359375,2960.0,90.2
281.471581697464,202.48193359375,2960.0,99.8
287.1908094882965,202.48193359375,2960.0,99.9
292.9067258834839,202.48193359375,2960.0,99.8
298.6268036365509,202.48193359375,2960.0,99.8
304.34616231918335,507.37841796875,2960.0,99.8
310.06335973739624,202.48193359375,2960.0,99.8
315.7770993709564,202.48193359375,2960.0,99.9
321.4901180267334,202.48193359375,2960.0,99.9
327.20716166496277,202.48193359375,2960.0,99.9
332.92913603782654,202.48193359375,2960.0,99.9
